"","lap","cars","Position"
"1",0,"44",1
"2",0,"77",2
"3",0,"33",3
"4",0,"11",4
"5",0,"18",5
"6",0,"23",6
"7",0,"55",7
"8",0,"4",8
"9",0,"16",9
"10",0,"10",10
"11",0,"5",11
"12",0,"26",12
"13",0,"3",13
"14",0,"7",14
"15",0,"31",15
"16",0,"20",16
"17",0,"8",17
"18",0,"63",18
"19",0,"6",19
"20",0,"99",20
"21",1,"44",1
"22",1,"33",2
"23",1,"18",3
"24",1,"77",4
"25",1,"11",5
"26",1,"23",6
"27",1,"55",7
"28",1,"10",8
"29",1,"16",9
"30",1,"4",10
"31",1,"5",11
"32",1,"3",12
"33",1,"26",13
"34",1,"20",14
"35",1,"7",15
"36",1,"31",16
"37",1,"8",17
"38",1,"63",18
"39",1,"99",19
"40",1,"6",20
"41",2,"44",1
"42",2,"33",2
"43",2,"18",3
"44",2,"77",4
"45",2,"11",5
"46",2,"23",6
"47",2,"55",7
"48",2,"10",8
"49",2,"16",9
"50",2,"4",10
"51",2,"5",11
"52",2,"26",12
"53",2,"3",13
"54",2,"20",14
"55",2,"7",15
"56",2,"31",16
"57",2,"8",17
"58",2,"63",18
"59",2,"99",19
"60",2,"6",20
"61",3,"44",1
"62",3,"33",2
"63",3,"18",3
"64",3,"77",4
"65",3,"11",5
"66",3,"23",6
"67",3,"55",7
"68",3,"10",8
"69",3,"16",9
"70",3,"4",10
"71",3,"5",11
"72",3,"26",12
"73",3,"3",13
"74",3,"20",14
"75",3,"7",15
"76",3,"31",16
"77",3,"8",17
"78",3,"63",18
"79",3,"99",19
"80",3,"6",20
"81",4,"44",1
"82",4,"33",2
"83",4,"18",3
"84",4,"77",4
"85",4,"11",5
"86",4,"23",6
"87",4,"55",7
"88",4,"10",8
"89",4,"16",9
"90",4,"4",10
"91",4,"5",11
"92",4,"26",12
"93",4,"3",13
"94",4,"20",14
"95",4,"7",15
"96",4,"31",16
"97",4,"8",17
"98",4,"63",18
"99",4,"99",19
"100",4,"6",20
"101",5,"44",1
"102",5,"33",2
"103",5,"77",3
"104",5,"18",4
"105",5,"11",5
"106",5,"23",6
"107",5,"55",7
"108",5,"10",8
"109",5,"16",9
"110",5,"4",10
"111",5,"5",11
"112",5,"26",12
"113",5,"3",13
"114",5,"20",14
"115",5,"7",15
"116",5,"31",16
"117",5,"63",17
"118",5,"8",18
"119",5,"99",19
"120",5,"6",20
"121",6,"44",1
"122",6,"33",2
"123",6,"77",3
"124",6,"18",4
"125",6,"11",5
"126",6,"23",6
"127",6,"55",7
"128",6,"10",8
"129",6,"16",9
"130",6,"4",10
"131",6,"5",11
"132",6,"26",12
"133",6,"3",13
"134",6,"20",14
"135",6,"7",15
"136",6,"31",16
"137",6,"63",17
"138",6,"8",18
"139",6,"99",19
"140",6,"6",20
"141",7,"44",1
"142",7,"33",2
"143",7,"77",3
"144",7,"18",4
"145",7,"11",5
"146",7,"23",6
"147",7,"55",7
"148",7,"10",8
"149",7,"16",9
"150",7,"4",10
"151",7,"5",11
"152",7,"26",12
"153",7,"3",13
"154",7,"20",14
"155",7,"7",15
"156",7,"31",16
"157",7,"63",17
"158",7,"8",18
"159",7,"99",19
"160",7,"6",20
"161",8,"44",1
"162",8,"33",2
"163",8,"77",3
"164",8,"18",4
"165",8,"11",5
"166",8,"23",6
"167",8,"55",7
"168",8,"10",8
"169",8,"16",9
"170",8,"4",10
"171",8,"5",11
"172",8,"26",12
"173",8,"3",13
"174",8,"20",14
"175",8,"7",15
"176",8,"31",16
"177",8,"63",17
"178",8,"8",18
"179",8,"99",19
"180",8,"6",20
"181",9,"44",1
"182",9,"33",2
"183",9,"77",3
"184",9,"18",4
"185",9,"11",5
"186",9,"23",6
"187",9,"55",7
"188",9,"10",8
"189",9,"16",9
"190",9,"4",10
"191",9,"5",11
"192",9,"26",12
"193",9,"3",13
"194",9,"20",14
"195",9,"7",15
"196",9,"31",16
"197",9,"63",17
"198",9,"8",18
"199",9,"99",19
"200",9,"6",20
"201",10,"44",1
"202",10,"33",2
"203",10,"77",3
"204",10,"18",4
"205",10,"11",5
"206",10,"23",6
"207",10,"55",7
"208",10,"10",8
"209",10,"16",9
"210",10,"4",10
"211",10,"5",11
"212",10,"26",12
"213",10,"3",13
"214",10,"20",14
"215",10,"7",15
"216",10,"31",16
"217",10,"63",17
"218",10,"8",18
"219",10,"99",19
"220",10,"6",20
"221",11,"44",1
"222",11,"33",2
"223",11,"77",3
"224",11,"18",4
"225",11,"11",5
"226",11,"23",6
"227",11,"55",7
"228",11,"10",8
"229",11,"16",9
"230",11,"4",10
"231",11,"5",11
"232",11,"26",12
"233",11,"3",13
"234",11,"20",14
"235",11,"7",15
"236",11,"31",16
"237",11,"63",17
"238",11,"8",18
"239",11,"99",19
"240",11,"6",20
"241",12,"44",1
"242",12,"33",2
"243",12,"77",3
